Arbeitsverzeichnis geaendert zu: /home/wir/Schreibtisch/Nodge3/Nodges
Server-Verzeichnis: /home/wir/Schreibtisch/Nodge3/Nodges

[START] CORS-faehiger HTTP-Server gestartet!
[FOLDER] Verzeichnis: /home/wir/Schreibtisch/Nodge3/Nodges
[WEB] URL: http://localhost:8000
[LINK] Netzwerk-URL: http://192.168.1.252:8000

[OK] CORS ist aktiviert - keine Cross-Origin-Probleme!
[STOP]  Zum Beenden: Ctrl+C druecken

[29/Jul/2025 09:41:16] "GET /index.html HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /main.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/StateManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/CentralEventManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/InteractionManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/LayoutManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/UIManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/core/EventManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/SelectionManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/RaycastManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/NetworkAnalyzer.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/PathFinder.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/PerformanceOptimizer.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/FPSMonitor.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/FileHandler.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/ImportManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/ExportManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/EdgeLabelManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/NeighborhoodHighlighter.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/KeyboardShortcuts.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/BatchOperations.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/NodeGroupManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/utils/LayoutGUI.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/effects/HighlightManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /src/effects/GlowEffect.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /objects/Node.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:17] "GET /objects/Edge.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:19] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:41:19] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:41:19] "GET /data/examples/small.json HTTP/1.1" 200 -
[29/Jul/2025 09:41:19] "GET /favicon-32x32.png HTTP/1.1" 200 -
[29/Jul/2025 09:41:19] "GET /objects/Edge2.js HTTP/1.1" 200 -
[29/Jul/2025 09:41:28] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:41:28] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:41:28] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:42:16] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:42:16] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:42:16] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:42:23] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:42:23] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:42:23] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:42:34] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:42:34] "GET /data/examples/ HTTP/1.1" 200 -
